"","query","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","blast_hit","evalue","ProteinNames","BiologicalProcess","GeneOntologyIDs","CellularComponent","MolecularFunction"
"23","Porites_compressa_HIv1___RNAseq.g5495.t1",1079.20549038248,-25.511417712,3.18020085109717,-8.02195172773398,1.04078044581032e-15,5.81298504646929e-13,"B8V7S0",5.84e-61,"CUB and peptidase domain-containing protein 1","proteolysis [GO:0006508]","GO:0004252; GO:0005576; GO:0006508","extracellular region [GO:0005576]","serine-type endopeptidase activity [GO:0004252]"
"24","Porites_compressa_HIv1___RNAseq.g13955.t1",7589.17022836781,5.69772249571434,0.71543262597079,7.96402384918209,1.66533138515162e-15,8.91368623902406e-13,"O18598",1.61e-17,"Glutathione S-transferase (EC 2.5.1.18) (GST class-sigma) (Major allergen Bla g 5) (allergen Bla g 5)","glutathione metabolic process [GO:0006749]","GO:0004364; GO:0006749","","glutathione transferase activity [GO:0004364]"
"25","Porites_compressa_HIv1___RNAseq.g20584.t1",2103.81769724993,-7.93808805225934,0.997974995387917,-7.95419533449711,1.80299471300818e-15,9.26450803332125e-13,NA,NA,NA,NA,NA,NA,NA
"26","Porites_compressa_HIv1___RNAseq.40046_t",39137.4210664078,-6.43196824708742,0.810255670720366,-7.93819590471858,2.05143149559001e-15,1.0135649612442e-12,NA,NA,NA,NA,NA,NA,NA
"27","Porites_compressa_HIv1___RNAseq.g20487.t1",1432.42907393358,14.5247329604747,1.85417863765571,7.83351326862376,4.74422754845844e-15,2.25719804027767e-12,"Q5TZ24",2.05e-15,"DBH-like monooxygenase protein 1 homolog (EC 1.14.17.-)","dopamine catabolic process [GO:0042420]; norepinephrine biosynthetic process [GO:0042421]; octopamine biosynthetic process [GO:0006589]","GO:0004500; GO:0005507; GO:0005615; GO:0005789; GO:0006589; GO:0030667; GO:0042420; GO:0042421","endoplasmic reticulum membrane [GO:0005789]; extracellular space [GO:0005615]; secretory granule membrane [GO:0030667]","copper ion binding [GO:0005507]; dopamine beta-monooxygenase activity [GO:0004500]"
"28","Porites_compressa_HIv1___TS.g27201.t1b",882.38856707552,-25.2393430427103,3.23838291130646,-7.79381059435247,6.50179857770071e-15,2.98293230461226e-12,NA,NA,NA,NA,NA,NA,NA
"29","Porites_compressa_HIv1___RNAseq.g30989.t1",860.909660077656,-25.1887073353647,3.24617752188035,-7.75949779874458,8.52663457616593e-15,3.77700509535957e-12,"Q9H4G4",7.87e-31,"Golgi-associated plant pathogenesis-related protein 1 (GAPR-1) (Golgi-associated PR-1 protein) (Glioma pathogenesis-related protein 2) (GliPR 2)","positive regulation of epithelial cell migration [GO:0010634]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; sexual reproduction [GO:0019953]","GO:0000139; GO:0005615; GO:0010634; GO:0010718; GO:0019953; GO:0042803; GO:0070062; GO:0070374","extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]","protein homodimerization activity [GO:0042803]"
"30","Porites_compressa_HIv1___RNAseq.g37392.t1",15057.7263110401,-17.0303662117587,2.19902429507319,-7.74451025844254,9.59509500180996e-15,4.0249726259737e-12,NA,NA,NA,NA,NA,NA,NA
"31","Porites_compressa_HIv1___RNAseq.g19340.t1",858.279589833019,-25.1425871622557,3.24715564087753,-7.74295720406585,9.71307421805891e-15,4.0249726259737e-12,"P55115",6.67e-50,"Zinc metalloproteinase nas-15 (EC 3.4.24.-) (Nematode astacin 15)","proteolysis [GO:0006508]","GO:0004222; GO:0005576; GO:0006508; GO:0008270","extracellular region [GO:0005576]","metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"32","Porites_compressa_HIv1___RNAseq.g11346.t1",1316.55060669328,14.4030313380649,1.87728585984612,7.67226326375539,1.68987659541404e-14,6.78379835771525e-12,NA,NA,NA,NA,NA,NA,NA
"33","Porites_compressa_HIv1___RNAseq.g24787.t1",2739.00186546755,-6.53634860611568,0.88631246404081,-7.37476778371777,1.64631754012237e-13,6.25759170779015e-11,"Q2KIA4",2.05e-121,"Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (Stearoyl-CoA 9-desaturase)","unsaturated fatty acid biosynthetic process [GO:0006636]","GO:0004768; GO:0005506; GO:0005789; GO:0006636; GO:0016491","endoplasmic reticulum membrane [GO:0005789]","iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; stearoyl-CoA 9-desaturase activity [GO:0004768]"
"34","Porites_compressa_HIv1___RNAseq.g14733.t1",1130.96161034799,14.183816456558,1.92349832394493,7.37396871106611,1.6562207540469e-13,6.25759170779015e-11,"A2D5Y4",3.04e-26,"Homeobox protein Hox-A5","anterior/posterior pattern specification [GO:0009952]","GO:0000978; GO:0000981; GO:0005634; GO:0009952","nucleus [GO:0005634]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
"35","Porites_compressa_HIv1___RNAseq.g18024.t1",594.834220328604,-24.7016164692231,3.38232186518742,-7.30315370735846,2.81099741619066e-13,1.01592248622467e-10,"Q02934",2.61e-108,"Endoglucanase 1 (EC 3.2.1.4) (Cellulase I) (Endo-1,4-beta-glucanase) (Endoglucanase I) (EGI)","cellulose catabolic process [GO:0030245]","GO:0008810; GO:0030245; GO:0030248; GO:0042802","","cellulase activity [GO:0008810]; cellulose binding [GO:0030248]; identical protein binding [GO:0042802]"
"36","Porites_compressa_HIv1___RNAseq.g18544.t1",6906.15590383557,-15.9058074569977,2.17844815442365,-7.3014395245986,2.84705040511352e-13,1.01592248622467e-10,"P86854",1.61e-18,"Perlucin-like protein","","GO:0005576; GO:0030246","extracellular region [GO:0005576]","carbohydrate binding [GO:0030246]"
"37","Porites_compressa_HIv1___RNAseq.g12891.t1",621.134922774968,-24.4990293301615,3.36436704595753,-7.28191335710484,3.29118439588559e-13,1.14266364187963e-10,"Q13443",2.11e-68,"Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)","amyloid precursor protein catabolic process [GO:0042987]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cellular response to lipopolysaccharide [GO:0071222]; integrin-mediated signaling pathway [GO:0007229]; keratinocyte differentiation [GO:0030216]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; monocyte activation [GO:0042117]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell migration [GO:0030335]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of protein secretion [GO:0050714]; protein processing [GO:0016485]; response to calcium ion [GO:0051592]; response to glucocorticoid [GO:0051384]; response to hydrogen peroxide [GO:0042542]; response to manganese ion [GO:0010042]; response to tumor necrosis factor [GO:0034612]; transforming growth factor beta receptor signaling pathway [GO:0007179]","GO:0004222; GO:0005080; GO:0005178; GO:0005518; GO:0005615; GO:0005886; GO:0005925; GO:0006509; GO:0007155; GO:0007160; GO:0007179; GO:0007229; GO:0008237; GO:0009897; GO:0009986; GO:0010042; GO:0016477; GO:0016485; GO:0017124; GO:0030216; GO:0030335; GO:0031293; GO:0033627; GO:0033630; GO:0033631; GO:0034241; GO:0034612; GO:0042117; GO:0042542; GO:0042987; GO:0043236; GO:0043410; GO:0046872; GO:0050714; GO:0051044; GO:0051384; GO:0051549; GO:0051592; GO:0070062; GO:0071222; GO:1902945","cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]","collagen binding [GO:0005518]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; protein kinase C binding [GO:0005080]; SH3 domain binding [GO:0017124]"
"38","Porites_compressa_HIv1___RNAseq.g28191.t1",587.382354635468,-24.4842357833625,3.38766288864999,-7.22747114696518,4.92070641102677e-13,1.663457751475e-10,"P55115",5.34e-30,"Zinc metalloproteinase nas-15 (EC 3.4.24.-) (Nematode astacin 15)","proteolysis [GO:0006508]","GO:0004222; GO:0005576; GO:0006508; GO:0008270","extracellular region [GO:0005576]","metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"39","Porites_compressa_HIv1___RNAseq.g11332.t1",531.71253445733,-24.5436559357678,3.43154538778408,-7.15236232140203,8.52970670319541e-13,2.80955416177559e-10,"P42674",3.23e-42,"Blastula protease 10 (EC 3.4.24.-)","proteolysis [GO:0006508]","GO:0004222; GO:0005576; GO:0005938; GO:0006508; GO:0008270; GO:0048471","cell cortex [GO:0005938]; extracellular region [GO:0005576]; perinuclear region of cytoplasm [GO:0048471]","metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"40","Porites_compressa_HIv1___RNAseq.g14810.t1",528.205774131148,-24.5395932221192,3.43458917314854,-7.14484090672872,9.01001811870576e-13,2.89356731882236e-10,NA,NA,NA,NA,NA,NA,NA
"41","Porites_compressa_HIv1___RNAseq.37390_t",1006.21645300222,14.0152055038377,1.9634338978147,7.13810916651515,9.46234725885348e-13,2.96471494846907e-10,NA,NA,NA,NA,NA,NA,NA
"42","Porites_compressa_HIv1___RNAseq.g14204.t1",503.220106807102,-24.4711282684334,3.45717932728784,-7.07835086114292,1.4588000354016e-12,4.46184410827833e-10,"P55115",1.01e-50,"Zinc metalloproteinase nas-15 (EC 3.4.24.-) (Nematode astacin 15)","proteolysis [GO:0006508]","GO:0004222; GO:0005576; GO:0006508; GO:0008270","extracellular region [GO:0005576]","metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"43","Porites_compressa_HIv1___RNAseq.g33996.t1",7228.60810065641,-5.03142873137039,0.711547904874342,-7.07110329031034,1.53706670794137e-12,4.59189742563135e-10,"D3YXG0",1.48e-24,"Hemicentin-1 (Fibulin-6) (FIBL-6)","actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; response to bacterium [GO:0009617]","GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005927; GO:0005938; GO:0009617; GO:0030036; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711","basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; muscle tendon junction [GO:0005927]","calcium ion binding [GO:0005509]"
"44","Porites_compressa_HIv1___RNAseq.g22736.t1",487.001340298511,-24.4266901947537,3.47288272668788,-7.03354881725293,2.01345483583593e-12,5.87837291389735e-10,"P19218",2.79e-21,"Pancreatic secretory granule membrane major glycoprotein GP2 (Glycoprotein 80) (gp80) (Pancreatic zymogen granule membrane protein GP-2)","antigen transcytosis by M cells in mucosal-associated lymphoid tissue [GO:0002412]; establishment of localization in cell [GO:0051649]; innate immune response [GO:0045087]; neutrophil migration [GO:1990266]","GO:0002412; GO:0003823; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:0051649; GO:1990266","apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; membrane raft [GO:0045121]; zymogen granule membrane [GO:0042589]","antigen binding [GO:0003823]"
"45","Porites_compressa_HIv1___RNAseq.g9693.t1",469.467538667601,-24.3761355004333,3.49128573621875,-6.9819938389901,2.91019895223614e-12,8.25164136781765e-10,NA,NA,NA,NA,NA,NA,NA
"46","Porites_compressa_HIv1___RNAseq.g14965.t1",931.613956942501,13.9040677407212,1.99202770304089,6.97985661519478,2.95481475104789e-12,8.25164136781765e-10,NA,NA,NA,NA,NA,NA,NA
"47","Porites_compressa_HIv1___RNAseq.g26768.t1",459.823947770601,-24.3504776936379,3.50190248940751,-6.95349963835166,3.56333865844129e-12,9.73928689496528e-10,NA,NA,NA,NA,NA,NA,NA
"48","Porites_compressa_HIv1___RNAseq.g12158.t1",4107.75153811999,-15.1562950948117,2.18916709536069,-6.92331577928935,4.41192779287262e-12,1.17427990764951e-09,"A0A1D5NSM8",6.98e-44,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)","cell migration [GO:0016477]; epidermal cell differentiation [GO:0009913]; epidermis development [GO:0008544]; epithelial cell-cell adhesion [GO:0090136]; lymph vessel development [GO:0001945]; lymph vessel morphogenesis [GO:0036303]","GO:0001945; GO:0005509; GO:0005576; GO:0005634; GO:0005737; GO:0008544; GO:0009913; GO:0016020; GO:0016477; GO:0036303; GO:0090136","cytoplasm [GO:0005737]; extracellular region [GO:0005576]; membrane [GO:0016020]; nucleus [GO:0005634]","calcium ion binding [GO:0005509]"
"49","Porites_compressa_HIv1___TS.g30194.t1",450.180356873601,-24.3101260354322,3.51242864628693,-6.92117292151429,4.47919317101247e-12,1.17427990764951e-09,"P00767",6.91e-41,"Chymotrypsinogen B (EC 3.4.21.1) [Cleaved into: Chymotrypsin B chain A; Chymotrypsin B chain B; Chymotrypsin B chain C]","digestion [GO:0007586]; proteolysis [GO:0006508]","GO:0004252; GO:0005576; GO:0006508; GO:0007586","extracellular region [GO:0005576]","serine-type endopeptidase activity [GO:0004252]"
"50","Porites_compressa_HIv1___RNAseq.g37393.t1",5724.29152221076,-15.6349751660732,2.26370540642662,-6.90680647830134,4.95685384521615e-12,1.27351488991293e-09,NA,NA,NA,NA,NA,NA,NA
"51","Porites_compressa_HIv1___RNAseq.g29754.t1",1005.32117547684,10.4852951087755,1.52687572651122,6.86715685285892,6.54940470339023e-12,1.61396771076962e-09,"Q9W770",1.67e-31,"Spondin-1 (F-spondin)","cell adhesion [GO:0007155]","GO:0005576; GO:0007155; GO:0031012; GO:0046872","extracellular matrix [GO:0031012]; extracellular region [GO:0005576]","metal ion binding [GO:0046872]"
"52","Porites_compressa_HIv1___RNAseq.g37391.t1",5458.66940483706,-15.5664236195443,2.26726403748301,-6.86573039672315,6.61519042324284e-12,1.61396771076962e-09,NA,NA,NA,NA,NA,NA,NA
"53","Porites_compressa_HIv1___RNAseq.g20069.t1",4573.18228702555,-15.311071593471,2.23037720919535,-6.86479019349144,6.65890461394908e-12,1.61396771076962e-09,NA,NA,NA,NA,NA,NA,NA
